method	arm	variant	trainer	seed	val_bpb_true	train_bpb_true	val_bpb	train_bpb	byte_factor	depth	vocab_size	tokenizer_id	log
bnd_w_bpe	bnd_w		bpe	0	0.8538275916063648	0.7919622407062028	0.922043	0.855235	0.9260171072350908	12	34686	bnd_w_bpe_d12_s0	bnd_w_bpe_d12_s0.log
bnd_w_bpe	bnd_w		bpe	1	0.8552610660883648	0.7928502911120413	0.923591	0.856194	0.9260171072350908	12	34686	bnd_w_bpe_d12_s1	bnd_w_bpe_d12_s1.log
bnd_w_bpe	bnd_w		bpe	2	0.8547850932952459	0.7925641518259057	0.923077	0.855885	0.9260171072350908	12	34686	bnd_w_bpe_d12_s2	bnd_w_bpe_d12_s2.log
bnd_wpd_bpe	bnd_wpd		bpe	0	0.8548454666612433	0.7716702627947167	0.937044	0.845871	0.9122788968941088	12	34686	bnd_wpd_bpe_d12_s0	bnd_wpd_bpe_d12_s0.log
bnd_wpd_bpe	bnd_wpd		bpe	1	0.8544495376199913	0.7724447875781798	0.93661	0.84672	0.9122788968941088	12	34686	bnd_wpd_bpe_d12_s1	bnd_wpd_bpe_d12_s1.log
bnd_wpd_bpe	bnd_wpd		bpe	2	0.8543409764312608	0.7723900508443661	0.936491	0.84666	0.9122788968941088	12	34686	bnd_wpd_bpe_d12_s2	bnd_wpd_bpe_d12_s2.log
bnd_wpd_caps_bpe	bnd_wpd_caps		bpe	0	0.8550575126324769	0.7712774711025207	0.937154	0.84533	0.9123980825269665	12	34686	bnd_wpd_caps_bpe_d12_s0	bnd_wpd_caps_bpe_d12_s0.log
bnd_wpd_caps_bpe	bnd_wpd_caps		bpe	1	0.8543011346220619	0.7728778173392729	0.936325	0.847084	0.9123980825269665	12	34686	bnd_wpd_caps_bpe_d12_s1	bnd_wpd_caps_bpe_d12_s1.log
bnd_wpd_caps_bpe	bnd_wpd_caps		bpe	2	0.8544635414807517	0.7721333005039309	0.936503	0.846268	0.9123980825269665	12	34686	bnd_wpd_caps_bpe_d12_s2	bnd_wpd_caps_bpe_d12_s2.log
plain_bpe	plain		bpe	0	0.8538690270764795	0.7670822898160576	0.852445	0.765803	1.0016705207684713	12	34686	plain_bpe_d12_s0	plain_bpe_d12_s0.log
plain_bpe	plain		bpe	1	0.8550009147649479	0.7692378847767515	0.853575	0.767955	1.0016705207684713	12	34686	plain_bpe_d12_s1	plain_bpe_d12_s1.log
plain_bpe	plain		bpe	2	0.8539541690707448	0.7681080004293246	0.85253	0.766827	1.0016705207684713	12	34686	plain_bpe_d12_s2	plain_bpe_d12_s2.log
