method	arm	variant	trainer	seed	val_bpb_true	train_bpb_true	val_bpb	train_bpb	byte_factor	depth	vocab_size	tokenizer_id	log
bnd_w_bpe	bnd_w		bpe	0	0.5432701205920806	0.4778009319375901	0.576768	0.507262	0.9419213974979205	12	34686	bnd_w_bpe_d12_s0	bnd_w_bpe_d12_s0.log
bnd_w_bpe	bnd_w		bpe	1	0.5430026149151912	0.47708978128247925	0.576484	0.506507	0.9419213974979205	12	34686	bnd_w_bpe_d12_s1	bnd_w_bpe_d12_s1.log
bnd_w_bpe	bnd_w		bpe	2	0.5433963380593454	0.4788389293176329	0.576902	0.508364	0.9419213974979205	12	34686	bnd_w_bpe_d12_s2	bnd_w_bpe_d12_s2.log
bnd_wpd_bpe	bnd_wpd		bpe	0	0.5434564359665244	0.47133696738984393	0.587091	0.509181	0.9256766599496916	12	34686	bnd_wpd_bpe_d12_s0	bnd_wpd_bpe_d12_s0.log
bnd_wpd_bpe	bnd_wpd		bpe	1	0.5433388750307109	0.4705936490319043	0.586964	0.508378	0.9256766599496916	12	34686	bnd_wpd_bpe_d12_s1	bnd_wpd_bpe_d12_s1.log
bnd_wpd_bpe	bnd_wpd		bpe	2	0.5439016864399602	0.4726579079835921	0.587572	0.510608	0.9256766599496916	12	34686	bnd_wpd_bpe_d12_s2	bnd_wpd_bpe_d12_s2.log
bnd_wpd_caps_bpe	bnd_wpd_caps		bpe	0	0.5422979796244369	0.4712249433259496	0.585698	0.508937	0.9259003439049424	12	34686	bnd_wpd_caps_bpe_d12_s0	bnd_wpd_caps_bpe_d12_s0.log
bnd_wpd_caps_bpe	bnd_wpd_caps		bpe	1	0.5422794616175589	0.4707619931539972	0.585678	0.508437	0.9259003439049424	12	34686	bnd_wpd_caps_bpe_d12_s1	bnd_wpd_caps_bpe_d12_s1.log
bnd_wpd_caps_bpe	bnd_wpd_caps		bpe	2	0.5421276139611584	0.4720128845186128	0.585514	0.509788	0.9259003439049424	12	34686	bnd_wpd_caps_bpe_d12_s2	bnd_wpd_caps_bpe_d12_s2.log
plain_bpe	plain		bpe	0	0.5497299984731606	0.478954111742012	0.54956	0.478806	1.0003093356015005	12	34686	plain_bpe_d12_s0	plain_bpe_d12_s0.log
plain_bpe	plain		bpe	1	0.5507323084274333	0.4783639292340071	0.550562	0.478216	1.0003093356015005	12	34686	plain_bpe_d12_s1	plain_bpe_d12_s1.log
plain_bpe	plain		bpe	2	0.5504892332588821	0.4806046221457545	0.550319	0.480456	1.0003093356015005	12	34686	plain_bpe_d12_s2	plain_bpe_d12_s2.log
